# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
Kepler-14 b,8.4,1.136,6.790123,,0.035,90.0,,S,2011,2011-06-29,,,detected by transit,,Kepler-14,19:10:50.0,+47:19:59,12.12,,,,,980.0,0.12,1.512,2.048,F,2.2,6395.0
Kepler-15 b,0.66,0.96,4.942782,0.05714,,87.44,,R,2011,2011-08-02,,,detected by transit,,Kepler-15,00:00:00.0,+00:00:00,13.8,,,,,,0.36,1.018,0.992,,,5595.0
Kepler-16 (AB) b,0.333,0.7538,228.776,0.7048,0.00685,90.0322,,R,2011,2012-04-24,318.0,,detected by transit,,Kepler-16 (AB),19:16:18.0,+51:45:27,12.0,,,,,,-0.3,0.8499,0.65,K,,4450.0
Kepler-17 b,2.45,1.312,1.4857108,0.02591,0.011,87.2,3.2e-05,R,2011,2011-10-26,,,detected by transit,,Kepler-17,19:53:35.0,+47:48:54,14.0,,,,,800.0,0.26,1.16,1.05,G2V,1.78,5781.0
Kepler-18 b,0.0217,0.179,3.504725,0.0447,,84.92,,R,2011,2011-10-05,,,detected by transit,,Kepler-18,19:52:19.0,+44:44:47,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-18 c,0.054,0.49,7.64159,0.0752,,87.68,,R,2011,2011-10-05,,,detected by transit,,Kepler-18,19:52:19.0,+44:44:47,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-18 d,0.052,0.62,14.85888,0.1172,,88.07,,R,2011,2011-10-05,,,detected by transit,,Kepler-18,19:52:19.0,+44:44:47,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-19 b,0.064,0.198,9.2869944,0.085,,89.94,,R,2011,2011-09-09,,,detected by transit,,Kepler-19,19:21:41.0,+37:51:06,12.0,,,,,,-0.13,0.936,0.85,,1.9,5541.0
Kepler-20 b,0.027,0.17,3.6961219,0.04537,0.32,86.5,0.000156,R,2011,2011-12-21,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 c,0.051,0.27,10.854092,0.093,0.4,88.39,0.000321,R,2011,2011-12-21,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 d,0.06,0.25,77.61185,0.3453,0.6,89.57,0.001191,R,2011,2011-12-21,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 e,0.0097,0.078,6.098493,0.0507,,87.5,0.000175,R,2011,2011-12-23,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 f,0.045,0.09,19.57706,0.11,,88.68,0.000379,R,2011,2011-12-23,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
